,openrlbenchmark/baselines/baselines-ppo2-mlp ({}),openrlbenchmark/cleanrl/ppo_continuous_action ({'tag': ['v1.0.0-27-gde3f410']}),openrlbenchmark/jaxrl/sac ({})
HalfCheetah-v2,19.597361111111113,18.798862598868645,28.690702614379088
Walker2d-v2,20.950694444444444,17.309235385604907,27.894092748210397
Hopper-v2,20.599027777777778,17.460583986745434,26.955833333333334
InvertedPendulum-v2,18.909097222222222,15.341146125723272,23.98593999844
Humanoid-v2,27.238333333333333,25.107166503085953,42.691828803480206
Pusher-v2,20.217847222222222,16.911157829734712,20.08262711864407
