,Pareto Q-Learning,MultiPolicy MO Q-Learning,MultiPolicy MO Q-Learning (OLS)
deep-sea-treasure-v0,846.48 ± 3.43,838.80 ± 4.82,783.55 ± 1.97
deep-sea-treasure-concave-v0,3481.19 ± 92.17,3356.49 ± 20.21,3355.25 ± 18.49
